Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Kansas City Chiefs,,D,4500,KC,NYJ,14.8,KC by 19.5,3.4,0.1,1.0,160,104,11.3,11.6,8.7,9.3,9.3,0.1,18.5,12.1,2.7,0.0,0.0
Tampa Bay Buccaneers,,D,4300,TB,@NYG,17.8,TB by 10.5,2.9,0.9,1.0,184,98,15.7,9.3,10.3,9.9,9.9,2.7,17.0,11.3,2.6,0.0,0.0
Los Angeles Chargers,,D,4000,LAC,@DEN,20.5,LAC by 3.5,3.0,0.7,1.7,209,114,16.3,12.0,4.3,5.2,5.2,2.1,8.2,7.5,1.9,0.0,0.0
Los Angeles Rams,,D,3800,LAR,@MIA,21.3,LAR by 3.5,1.7,0.0,1.2,249,105,26.7,3.7,9.7,7.9,7.9,2.0,13.7,8.1,2.1,0.0,0.0
Baltimore Ravens,,D,3700,BAL,PIT,21.3,BAL by 4,1.3,0.5,0.7,229,130,24.7,2.7,13.0,12.7,12.7,5.0,20.4,8.1,2.2,0.0,0.0
Pittsburgh Steelers,,D,3600,PIT,@BAL,25.3,BAL by 4,2.5,0.3,0.5,178,164,28.8,4.2,9.3,9.3,9.3,3.8,14.8,6.8,1.9,0.0,0.0
Philadelphia Eagles,,D,3500,PHI,DAL,17.5,PHI by 8,2.9,1.3,1.0,316,102,24.3,9.4,5.3,6.6,6.6,0.2,12.9,10.5,3.0,0.0,0.0
New Orleans Saints,,D,3400,NO,@CHI,19.8,NO by 4,2.1,0.1,1.3,224,84,18.9,6.7,2.7,4.3,4.3,-2.4,11.1,8.5,2.5,0.0,0.0
Buffalo Bills,,D,3300,BUF,NE,19.3,BUF by 4,2.2,0.5,1.8,197,155,18.2,9.7,7.7,6.3,6.3,2.0,10.7,8.5,2.6,0.0,0.0
Seattle Seahawks,,D,3200,SEA,SF,25.8,SEA by 2.5,2.7,0.3,1.0,245,138,25.9,6.0,4.0,5.0,5.0,1.3,8.7,6.3,2.0,0.0,0.0
Indianapolis Colts,,D,3100,IND,@DET,23.5,IND by 3,2.3,0.0,0.7,246,109,26.0,4.3,7.3,11.2,11.2,2.7,19.6,6.6,2.1,0.0,0.0
New England Patriots,,D,3100,NE,@BUF,23.3,BUF by 4,1.8,0.8,0.3,281,97,26.3,3.5,4.7,7.7,7.7,3.3,12.1,6.9,2.2,0.0,0.0
Denver Broncos,,D,3000,DEN,LAC,24.0,LAC by 3.5,2.0,0.7,0.5,281,125,23.8,5.5,7.3,5.8,5.8,1.6,10.0,6.3,2.1,0.0,0.0
Tennessee Titans,,D,3000,TEN,@CIN,24.0,TEN by 5.5,4.0,0.7,0.7,262,99,23.3,8.9,3.7,3.8,3.8,0.2,7.4,7.9,2.6,0.0,0.0
Green Bay Packers,,D,2900,GB,MIN,22.5,GB by 6.5,2.3,0.3,1.7,235,139,25.8,7.2,3.3,5.0,5.0,0.8,9.2,7.8,2.7,0.0,0.0
Las Vegas Raiders,,D,2900,LV,@CLE,27.0,CLE by 2.5,1.6,0.3,1.0,207,157,27.4,5.6,0.0,0.3,0.3,-2.3,3.0,6.1,2.1,0.0,0.0
Chicago Bears,,D,2800,CHI,NO,23.8,NO by 4,1.3,0.3,0.5,266,119,29.0,1.8,8.7,6.9,6.9,3.0,10.7,6.0,2.1,0.0,0.0
San Francisco 49ers,,D,2700,SF,@SEA,28.3,SEA by 2.5,2.8,0.2,1.0,296,130,33.5,3.8,6.7,6.7,6.7,0.6,12.8,5.6,2.1,0.0,0.0
Cleveland Browns,,D,2600,CLE,LV,24.5,CLE by 2.5,1.8,1.0,0.3,277,114,28.5,4.8,7.0,6.3,6.3,0.8,11.8,6.7,2.6,0.0,0.0
Detroit Lions,,D,2500,DET,IND,26.5,IND by 3,1.0,0.2,1.0,265,98,23.5,4.8,3.3,2.5,2.5,-1.3,6.3,5.8,2.3,0.0,0.0
Carolina Panthers,,D,2500,CAR,ATL,25.0,CAR by 2,2.1,0.3,0.4,295,105,25.4,2.9,3.3,3.7,3.7,0.0,7.4,6.0,2.4,0.0,0.0
Miami Dolphins,,D,2400,MIA,LAR,24.8,LAR by 3.5,1.1,0.4,0.6,247,139,25.1,4.4,10.0,8.0,8.0,2.4,13.6,5.0,2.1,0.0,0.0
Dallas Cowboys,,D,2400,DAL,@PHI,25.5,PHI by 8,4.0,0.4,1.4,227,119,22.4,7.9,2.7,1.3,1.3,-3.1,5.7,5.8,2.4,0.0,0.0
Atlanta Falcons,,D,2300,ATL,@CAR,27.0,CAR by 2,1.9,0.4,0.7,264,105,23.1,4.4,3.0,2.3,2.3,-0.6,5.2,5.1,2.2,0.0,0.0
Minnesota Vikings,,D,2200,MIN,@GB,29.0,GB by 6.5,1.3,0.0,0.3,262,132,31.5,1.2,3.7,2.3,2.3,-1.4,6.1,3.5,1.6,0.0,0.0
Cincinnati Bengals,,D,2100,CIN,TEN,29.5,TEN by 5.5,1.4,0.2,0.4,267,146,28.0,2.6,1.7,2.6,2.6,-0.8,6.0,3.8,1.8,0.0,0.0
